0.6931216931216931,0.8426966292134831,0.9019607843137255
broj,postotak
2,1.0
3,1.0
4,1.0
5,0.8
6,0.8
7,0.7142857142857143
8,0.7142857142857143
9,0.6666666666666666
10,0.7
11,0.7272727272727273
12,0.75
13,0.7692307692307693
14,0.7692307692307693
15,0.7333333333333333
16,0.75
17,0.7647058823529411
18,0.7777777777777778
19,0.7894736842105263
20,0.8
21,0.8095238095238095
22,0.8095238095238095
23,0.782608695652174
24,0.782608695652174
25,0.782608695652174
26,0.7307692307692307
27,0.7307692307692307
28,0.7142857142857143
29,0.7241379310344828
30,0.7333333333333333
31,0.7419354838709677
32,0.75
33,0.7575757575757576
34,0.7575757575757576
35,0.7428571428571429
36,0.75
37,0.7567567567567568
38,0.7631578947368421
39,0.7692307692307693
40,0.7692307692307693
41,0.7692307692307693
42,0.7380952380952381
43,0.7441860465116279
44,0.7441860465116279
45,0.7333333333333333
46,0.7391304347826086
47,0.7446808510638298
48,0.75
49,0.7551020408163265
50,0.76
51,0.7647058823529411
52,0.7692307692307693
53,0.7735849056603774
54,0.7777777777777778
55,0.7818181818181819
56,0.7857142857142857
57,0.7894736842105263
58,0.7894736842105263
59,0.7796610169491526
60,0.7833333333333333
61,0.7833333333333333
62,0.7741935483870968
63,0.7777777777777778
64,0.7777777777777778
65,0.7692307692307693
66,0.7727272727272727
67,0.7727272727272727
68,0.7727272727272727
69,0.7536231884057971
70,0.7571428571428571
71,0.7605633802816901
72,0.7638888888888888
73,0.7671232876712328
74,0.7702702702702703
75,0.7733333333333333
76,0.7763157894736842
77,0.7792207792207793
78,0.782051282051282
79,0.7848101265822784
80,0.7875
81,0.7901234567901234
82,0.7926829268292683
83,0.7951807228915663
84,0.7976190476190477
85,0.8
86,0.8023255813953488
87,0.8045977011494253
88,0.8068181818181818
89,0.8089887640449438
90,0.8089887640449438
91,0.8089887640449438
92,0.7934782608695652
93,0.7956989247311828
94,0.7956989247311828
95,0.7894736842105263
96,0.7894736842105263
97,0.7835051546391752
98,0.7857142857142857
99,0.7878787878787878
100,0.79
101,0.7920792079207921
102,0.7941176470588235
103,0.7961165048543689
104,0.7961165048543689
105,0.7904761904761904
106,0.7904761904761904
107,0.7850467289719626
108,0.7870370370370371
109,0.7889908256880734
110,0.7909090909090909
111,0.7927927927927928
112,0.7946428571428571
113,0.7964601769911505
114,0.7964601769911505
115,0.7964601769911505
116,0.7964601769911505
117,0.7777777777777778
118,0.7796610169491526
119,0.7815126050420168
120,0.7833333333333333
121,0.7851239669421488
122,0.7868852459016393
123,0.7886178861788617
124,0.7886178861788617
125,0.784
126,0.7857142857142857
127,0.7857142857142857
128,0.78125
129,0.7829457364341085
130,0.7846153846153846
131,0.7862595419847328
132,0.7878787878787878
133,0.7878787878787878
134,0.7835820895522388
135,0.7851851851851852
136,0.7867647058823529
137,0.7883211678832117
138,0.7898550724637681
139,0.7913669064748201
140,0.7928571428571428
141,0.7943262411347518
142,0.7943262411347518
143,0.7902097902097902
144,0.7916666666666666
145,0.7931034482758621
146,0.7931034482758621
147,0.7891156462585034
148,0.7905405405405406
149,0.7919463087248322
150,0.7919463087248322
151,0.7880794701986755
152,0.7894736842105263
153,0.7908496732026143
154,0.7922077922077922
155,0.7922077922077922
156,0.7884615384615384
157,0.7898089171974523
158,0.7911392405063291
159,0.7911392405063291
160,0.7875
161,0.7888198757763976
162,0.7888198757763976
163,0.7852760736196319
164,0.7852760736196319
165,0.7818181818181819
166,0.7831325301204819
167,0.7831325301204819
168,0.7797619047619048
169,0.7810650887573964
170,0.7810650887573964
171,0.7777777777777778
172,0.7777777777777778
173,0.7745664739884393
174,0.7758620689655172
175,0.7771428571428571
176,0.7784090909090909
177,0.7796610169491526
178,0.7796610169491526
179,0.776536312849162
180,0.7777777777777778
181,0.7790055248618785
182,0.7802197802197802
