90,192,6'2
89,187,6'2
89,212,6'6
89,203,6'4
88,203,6'4
88,203,6'4
87,176,6'1
86,190,6'2
85,201,6'3
84,179,6'0
84,170,6'2
84,183,6'3
84,187,6'4
84,192,6'2
84,205,6'2
84,196,6'2
83,198,6'4
83,185,6'3
83,181,6'2
83,185,6'3
83,216,6'6
83,203,6'3
83,185,6'3
83,174,6'0
83,181,6'3
83,203,6'2
82,179,6'5
82,198,6'5
82,187,6'3
82,170,6'2
82,190,6'6
82,176,6'4
82,198,6'5
82,198,6'5
82,185,6'1
81,172,6'4
81,172,6'1
81,207,6'5
81,163,6'3
80,205,6'2
80,185,6'2
80,194,6'2
80,179,6'1
80,187,6'2
80,168,6'7
80,209,6'5
80,194,6'2
80,176,6'3
80,190,6'2
80,185,6'4
80,192,6'4
80,172,6'1
80,196,6'5
80,174,6'4
80,183,6'2
80,187,6'1
79,176,6'1
79,176,6'2
79,198,6'4
79,165,6'1
79,194,6'4
79,192,6'2
79,181,6'0
79,196,6'4
79,179,6'2
79,190,6'3
79,176,6'0
79,183,6'6
79,203,6'2
79,201,6'5
79,187,6'3
78,181,6'4
78,185,6'2
78,187,6'4
78,176,6'3
78,192,6'4
78,187,6'2
78,187,6'1
78,168,6'2
78,172,6'0
78,187,6'1
78,187,6'0
78,194,6'2
78,176,6'0
78,209,6'5
77,198,6'3
77,183,6'3
77,172,6'4
77,163,6'2
77,196,6'4
77,181,6'0
77,190,6'4
77,207,6'4
77,187,6'2
77,174,6'4
77,183,6'2
77,168,5'11
77,192,6'2
77,201,6'3
77,172,6'1
77,185,6'0
77,187,6'4
77,192,6'4
76,207,6'4
76,218,6'7
76,168,6'2
76,194,6'5
76,170,6'2
76,181,6'4
76,170,6'2
76,172,6'1
76,176,5'11
76,163,6'0
76,179,6'0
76,187,6'6
76,174,6'2
76,181,6'2
76,209,6'6
76,154,6'2
76,205,6'7
76,198,6'4
76,194,6'3
76,161,6'1
76,190,6'5
76,185,6'2
76,194,6'3
76,179,6'0
76,176,6'3
76,176,6'4
75,201,6'4
75,181,6'2
75,179,6'4
75,196,6'5
75,165,6'1
75,190,6'1
75,176,6'2
75,170,6'3
75,205,6'5
75,185,6'2
75,196,6'3
75,198,6'5
75,183,6'3
75,190,6'3
75,176,6'1
75,198,6'6
75,201,6'3
75,192,6'4
75,174,6'4
75,203,6'6
75,172,6'3
75,172,6'2
75,174,6'1
75,172,6'0
75,159,6'0
75,165,6'0
75,198,6'3
75,194,6'3
75,174,6'1
75,185,6'2
75,185,6'2
75,176,6'0
75,187,6'4
75,185,6'0
74,187,6'1
74,179,6'1
74,190,6'1
74,198,6'3
74,168,6'3
74,194,6'2
74,194,6'4
74,172,6'1
74,203,6'5
74,170,6'0
74,172,6'0
74,176,6'2
74,174,6'0
74,185,6'2
74,183,6'4
74,183,6'1
74,187,6'4
74,201,6'5
74,187,6'2
74,181,6'1
74,194,6'3
74,194,6'4
74,165,5'11
74,205,6'3
74,198,6'4
74,209,6'4
74,168,6'2
74,165,6'2
74,176,6'2
74,179,6'2
74,183,6'4
74,185,6'2
74,198,6'4
74,181,6'3
74,176,6'2
73,190,6'2
73,183,6'1
73,194,6'2
73,179,6'2
73,179,6'3
73,183,6'2
73,172,6'3
73,194,6'3
73,201,6'5
73,176,6'3
73,198,6'3
73,205,6'3
73,183,6'3
73,225,6'3
73,187,6'6
73,198,6'2
73,203,6'6
73,163,6'2
73,190,6'3
73,194,6'2
73,192,6'3
73,198,6'2
73,194,6'3
73,168,6'1
73,179,5'11
73,181,6'2
73,190,6'2
73,172,6'1
73,179,6'2
73,185,5'10
73,209,6'4
73,187,6'5
73,196,6'3
73,176,6'2
73,168,5'11
73,181,6'3
73,172,6'1
73,174,5'11
73,190,6'1
73,192,6'0
73,192,6'2
73,181,6'4
73,172,6'2
73,203,6'5
